Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數
2018-10-18,4526834,"331,238,197",73.8,74.0,72.7,72.7,-0.8,"2,198"
2018-10-19,28995758,"2,167,503,626",72.7,76.3,72.5,74.9,2.2,"5,721"
2018-10-22,6280002,"464,507,537",74.3,74.9,73.5,74.1,-0.8,"3,089"
2018-10-23,7206610,"524,606,330",73.1,74.0,72.3,72.8,-1.3,"2,967"
2018-10-24,7990223,"585,784,367",72.8,74.0,72.6,73.1,0.3,"4,763"
2018-10-25,13437491,"1,002,395,859",73.5,75.3,73.1,75.0,1.9,"6,332"
2018-10-26,8806622,"661,353,550",74.9,75.8,73.7,75.8,0.8,"3,466"
2018-10-29,5407571,"413,745,912",76.0,76.9,76.0,76.7,0.9,"2,602"
2018-10-30,11203193,"840,113,075",76.0,76.0,74.2,74.8,-1.9,"4,233"
2018-10-31,9721344,"724,969,400",74.0,75.1,74.0,74.9,0.1,"3,908"
2018-11-01,13230502,"995,035,852",74.4,76.2,74.1,76.2,1.3,"3,903"
2018-11-02,7767233,"582,209,349",76.2,76.2,74.2,75.6,-0.6,"3,462"
2018-11-05,5288804,"399,543,803",75.2,76.3,74.3,76.3,0.7,"2,745"
2018-11-06,5227008,"394,743,184",76.7,76.7,74.9,75.9,-0.4,"2,246"
2018-11-07,3513561,"266,772,243",76.1,76.4,75.2,76.0,0.1,"1,756"
2018-11-08,9379046,"703,961,243",75.6,75.8,74.2,75.0,-1.0,"4,868"
2018-11-09,13817822,"1,002,115,721",74.5,74.7,71.8,72.1,-2.9,"7,522"
2018-11-12,8877089,"642,044,340",71.9,73.1,71.5,72.4,0.3,"4,535"
2018-11-13,10773646,"795,888,340",72.0,75.0,71.9,75.0,2.6,"5,603"
2018-11-14,6307171,"466,805,745",74.8,74.8,73.5,74.3,-0.7,"3,293"
2018-11-15,5587643,"411,377,082",74.5,74.5,73.3,73.6,-0.7,"3,079"
2018-11-16,7835865,"583,613,616",74.8,74.9,73.7,74.8,1.2,"4,173"
2018-11-19,9087444,"688,198,915",75.4,76.2,74.9,76.2,1.4,"4,944"
2018-11-20,5075077,"382,667,063",75.8,76.2,75.0,75.1,-1.1,"3,066"
2018-11-21,4704700,"351,344,176",74.2,75.0,74.2,74.6,-0.5,"2,813"
2018-11-22,3623558,"267,747,513",74.1,74.5,73.6,73.9,-0.7,"1,783"
2018-11-23,3537079,"260,073,440",73.7,74.0,73.1,73.8,-0.1,"1,984"
2018-11-26,5836455,"434,751,574",74.0,75.5,73.7,74.1,0.3,"3,250"
2018-11-27,11528289,"836,692,497",73.5,73.6,72.0,72.6,-1.5,"5,796"
2018-11-28,14348950,"1,042,185,320",72.6,73.2,72.1,72.8,0.2,"5,083"
2018-11-29,10343008,"749,670,463",72.9,73.5,72.2,72.2,-0.6,"5,255"
2018-11-30,16370011,"1,184,885,086",72.8,72.9,72.2,72.2,0.0,"4,250"
2018-12-03,12034675,"878,865,565",73.0,73.4,72.3,73.3,1.1,"5,491"
2018-12-04,20862953,"1,485,464,202",72.0,72.4,70.7,70.7,-2.6,"9,734"
2018-12-05,16876737,"1,181,726,740",70.5,71.3,69.2,69.3,-1.4,"7,586"
2018-12-06,27504070,"1,854,389,371",69.0,69.1,66.7,67.4,-1.9,"11,548"
2018-12-07,8672121,"594,440,537",68.2,68.9,68.0,68.9,1.5,"4,500"
2018-12-10,7835631,"534,379,126",68.5,68.8,67.8,68.2,-0.7,"3,967"
2018-12-11,10133969,"701,144,253",69.2,69.5,68.8,68.9,0.7,"3,684"
2018-12-12,10757016,"749,786,151",70.4,70.4,69.4,69.4,0.5,"4,137"
2018-12-13,6529330,"459,135,580",70.5,70.6,69.9,70.3,0.9,"3,104"
2018-12-14,8019859,"554,483,091",70.0,70.4,68.6,68.9,-1.4,"4,043"
2018-12-17,4963917,"345,605,856",68.9,70.0,68.8,69.8,0.9,"1,814"
2018-12-18,10944037,"764,859,219",69.8,70.4,69.3,69.8,0.0,"4,001"
2018-12-19,7334991,"513,992,542",69.5,70.5,69.3,70.1,0.3,"3,984"
2018-12-20,6493357,"455,603,596",70.4,71.0,69.4,69.7,-0.4,"3,059"
2018-12-21,8031219,"559,981,790",70.2,70.5,69.4,69.4,-0.3,"2,190"
2018-12-22,588683,"40,969,366",69.8,69.8,69.5,69.5,0.1,366
2018-12-24,3440272,"237,759,696",69.6,69.8,68.8,69.0,-0.5,"1,790"
2018-12-25,2453952,"167,099,803",67.9,68.4,67.9,68.0,-1.0,"1,569"
2018-12-26,1834859,"126,145,487",68.5,69.0,68.3,68.6,0.6,"1,279"
2018-12-27,8411943,"582,917,439",69.1,70.2,68.6,69.2,0.6,"4,367"
2018-12-28,6172491,"428,668,555",69.7,69.8,68.8,69.8,0.6,"2,452"
2019-01-02,4970267,"340,664,448",69.3,69.7,68.2,68.3,-1.5,"3,080"
2019-01-03,6736068,"456,527,016",67.5,68.5,67.3,67.5,-0.8,"3,378"
2019-01-04,6980664,"472,779,901",67.4,68.3,67.0,67.9,0.4,"3,367"
2019-01-07,10548593,"740,207,290",69.4,70.9,69.0,70.4,2.5,"5,408"
2019-01-08,12423404,"885,821,836",71.0,71.0,70.1,70.2,-0.2,"3,549"
2019-01-09,17244482,"1,227,998,034",71.0,72.1,70.7,72.1,1.9,"4,936"
2019-01-10,14299722,"1,012,729,489",71.1,71.2,70.1,70.5,-1.6,"4,756"
2019-01-11,6766267,"480,395,057",71.0,71.2,70.5,71.1,0.6,"3,181"
2019-01-14,6245952,"446,062,045",71.5,72.0,70.8,71.3,0.2,"3,239"
2019-01-15,10404084,"749,244,840",71.8,72.2,71.6,72.1,0.8,"3,665"
2019-01-16,12537243,"909,063,493",72.3,73.0,71.8,73.0,0.9,"3,501"
2019-01-17,11319370,"823,531,529",73.0,73.4,71.8,72.9,-0.1,"5,387"
2019-01-18,6172520,"446,203,368",72.9,72.9,72.1,72.1,-0.8,"3,004"
2019-01-21,7979371,"577,149,281",72.1,72.8,71.8,72.8,0.7,"2,622"
2019-01-22,5850213,"425,461,296",72.8,72.9,72.3,72.9,0.1,"1,580"
2019-01-23,3727348,"271,309,651",73.4,73.4,72.3,72.5,-0.4,"2,104"
2019-01-24,7382587,"532,345,270",72.3,72.5,71.6,72.4,-0.1,"3,526"
2019-01-25,7497390,"549,120,770",72.4,73.5,72.2,73.3,0.9,"3,372"
2019-01-28,6629050,"480,781,202",72.8,73.0,72.2,72.5,-0.8,"3,292"
2019-01-29,7458363,"541,156,908",72.2,73.1,72.2,72.5,0.0,"3,401"
2019-01-30,9971047,"720,176,690",72.2,73.0,71.9,71.9,-0.6,"3,805"
2019-02-11,18326224,"1,337,703,023",73.3,73.5,72.2,72.5,0.6,"5,239"
2019-02-12,8290705,"610,820,193",73.4,74.0,72.8,73.9,1.4,"4,471"
2019-02-13,6308026,"460,279,386",74.2,74.2,72.6,72.7,-1.2,"3,141"
2019-02-14,5268702,"385,055,946",72.3,73.5,72.3,73.0,0.3,"2,477"
2019-02-15,4715703,"343,491,560",72.4,73.4,72.4,72.7,-0.3,"2,604"
2019-02-18,14289349,"1,042,205,284",73.4,73.8,72.9,73.4,0.7,"2,227"
2019-02-19,3031221,"222,982,739",73.7,73.7,73.2,73.6,0.2,"1,891"
2019-02-20,8242325,"604,857,321",73.7,73.9,72.8,73.4,-0.2,"3,806"
2019-02-21,7399340,"546,878,660",73.2,74.2,73.2,74.2,0.8,"4,416"
2019-02-22,6037521,"450,397,742",74.0,75.0,73.8,75.0,0.8,"3,511"
2019-02-25,5652867,"419,403,171",74.4,74.7,73.5,74.4,-0.6,"2,402"
2019-02-26,4341730,"322,938,862",73.9,74.8,73.9,74.5,0.1,"2,052"
2019-02-27,8259277,"618,412,930",74.5,75.0,74.1,75.0,0.5,"3,316"
2019-03-04,11995239,"874,469,374",73.5,74.2,72.5,72.5,-2.5,"6,637"
2019-03-05,4913723,"356,309,799",72.5,73.0,72.3,72.6,0.1,"2,611"
2019-03-06,3605951,"263,786,645",72.5,73.4,72.5,73.3,0.7,"2,060"
2019-03-07,5557314,"407,251,360",73.5,73.7,73.0,73.1,-0.2,"2,451"
2019-03-08,8862429,"637,022,989",72.3,72.4,71.5,71.7,-1.4,"4,473"
2019-03-11,5918092,"429,178,474",72.5,72.9,72.1,72.5,0.8,"2,672"
2019-03-12,5614906,"409,286,070",72.5,73.3,72.2,72.5,0.0,"3,132"
2019-03-13,3985644,"287,218,405",72.2,72.7,71.8,71.9,-0.6,"2,517"
2019-03-14,5840632,"422,119,369",71.9,72.6,71.9,72.3,0.4,"2,640"
2019-03-15,18189734,"1,333,083,972",72.5,74.2,72.4,73.3,1.0,"6,003"
2019-03-18,3190154,"234,187,797",73.4,73.6,73.0,73.6,0.3,"1,413"
2019-03-19,3511462,"258,201,036",73.6,73.9,73.2,73.5,-0.1,"1,835"
2019-03-20,3767145,"277,063,448",73.3,73.7,73.3,73.6,0.1,"1,782"
2019-03-21,4577794,"336,509,634",73.6,73.7,73.2,73.5,-0.1,"2,178"
2019-03-22,3494646,"257,129,701",73.5,73.9,73.3,73.9,0.4,"1,864"
2019-03-25,3757540,"277,726,938",73.3,74.2,73.0,74.2,0.3,"1,948"
2019-03-26,3405159,"253,280,234",73.9,74.8,73.8,74.8,0.6,"2,022"
2019-03-27,4740634,"353,419,322",73.6,75.2,73.6,74.7,-0.1,"2,443"
2019-03-28,11136732,"824,369,562",73.8,74.6,73.2,74.6,-0.1,"4,101"
2019-03-29,11067099,"826,382,664",74.8,75.0,74.0,74.8,0.2,"4,063"
2019-04-01,7023008,"526,090,568",75.0,75.3,74.6,75.0,0.2,"3,373"
2019-04-02,6443770,"483,250,992",75.1,75.2,74.4,75.1,0.1,"2,670"
2019-04-03,7360487,"552,233,896",75.1,75.3,74.6,75.0,-0.1,"2,802"
2019-04-08,25515483,"1,888,875,584",74.4,74.8,73.5,74.1,-0.9,"5,188"
2019-04-09,6397034,"471,823,268",73.5,74.2,73.5,73.9,-0.2,"2,919"
2019-04-10,9122649,"670,906,081",73.4,74.0,73.3,73.5,-0.4,"3,989"
2019-04-11,13979872,"1,021,287,527",73.2,73.5,72.3,72.4,-1.1,"4,228"
2019-04-12,5384100,"393,740,265",73.3,73.5,72.7,73.5,1.1,"2,298"
2019-04-15,5943399,"437,206,529",73.7,73.9,73.1,73.6,0.1,"2,660"
2019-04-16,7029862,"517,586,387",73.4,73.8,73.3,73.6,0.0,"3,003"
2019-04-17,8243300,"601,726,700",73.3,73.4,72.8,72.8,-0.8,"3,345"
2019-04-18,21730076,"1,551,534,506",72.6,72.6,71.0,71.1,-1.7,"8,284"
2019-04-19,2881127,"206,329,644",71.3,71.9,71.3,71.6,0.5,"2,002"
2019-04-22,1551681,"111,467,831",72.0,72.1,71.6,71.7,0.1,"1,226"
2019-04-23,6121894,"440,400,026",71.6,72.3,71.5,72.0,0.3,"2,479"
2019-04-24,11778228,"847,753,650",71.9,72.3,71.8,72.0,0.0,"2,855"
